"","X","Name","University","Course","Year","Status","GRE_SCORE","Eng_test","Test_score","Undergrad_score","work_ex"
"232","32","MatMat","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","315","TOEFL","105","9.56 CGPA ","19 months"
"233","33","mani666","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","314","TOEFL","109","8.6 CGPA ","24 months"
"234","34","Subhayu","Carnegie Mellon University","Information Systems","Fall 2019 ","Admit","N.A. ","ENG TEST","NA ","6.93 CGPA ","36 months"
"235","35","Adyasha1094","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","318","TOEFL","118","8.43 CGPA ","30 months"
"236","36","Anju1234","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","319","TOEFL","113","73.40%","26 months"
"237","37","spri","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","326","TOEFL","111","8.48 CGPA ","24 months"
"238","38","Hari2095","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","329","TOEFL","105","9.21 CGPA ","13 months"
"239","39","PriyanshiJ","Carnegie Mellon University","Information Systems","Fall 2017 ","Admit","320","TOEFL","105","8.1 CGPA ","24 months"
"240","40","vishal403","Carnegie Mellon University","Information Systems","Fall 2015 ","Admit","318","TOEFL","104","9.24 CGPA ","16 months"
"241","41","loveenvarghese","Carnegie Mellon University","Information Systems","Fall 2011 ","Admit","324","TOEFL","113","65.50%",NA
"242","43","vishd29","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","329","TOEFL","113","7.65 CGPA ","40 months"
"243","44","NinadB","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","309","TOEFL","101","7.61 CGPA ","9 months"
"244","45","Achiever1989","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","314","TOEFL","110","72%","60 months"
"245","46","theharishkm","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","N.A. ","TOEFL","104","8.15 CGPA ","33 months"
"246","47","shruti1735","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","320","TOEFL","0","7.54 CGPA ","7 months"
"247","48","jd1993","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","322","TOEFL","106","7.29 CGPA ","26 months"
"248","49","ManishaSharma2194","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","315","TOEFL","101","8.45 CGPA ","24 months"
"249","50","Poseidon","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","321","TOEFL","109","60%","29 months"
"250","51","Deva99","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","319","TOEFL","110","8.98 CGPA ","6 months"
"251","52","manyam123","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","307","TOEFL","100","8.91 CGPA ","24 months"
"252","53","bhavul","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","325","TOEFL","114","7.72 CGPA ","25 months"
"253","54","AdityaSathe","Carnegie Mellon University","Information Systems","Fall 2018 ","Reject","321","TOEFL","0","9.45 CGPA ","11 months"
"254","55","sanketwalavalka","Carnegie Mellon University","Information Systems","Fall 2011 ","Reject","N.A. ","TOEFL","101","68%",NA
"255","56","hunkydk","Carnegie Mellon University","Information Systems","Fall 2017 ","Reject","320","TOEFL","104","6.56 CGPA ","19 months"
"256","57","patvik","Carnegie Mellon University","Information Systems","Fall 2017 ","Reject","311","TOEFL","104","60.43%",NA
"257","58","yplfc","Carnegie Mellon University","Information Systems","Fall 2017 ","Reject","317","TOEFL","110","6.79 CGPA ","1 month"
"258","59","PrachiC","Carnegie Mellon University","Information Systems","Fall 2017 ","Reject","316","TOEFL","108","71%","13 months"
"259","60","Harshil Dhruve","Carnegie Mellon University","Information Systems","Fall 2017 ","Reject","308","TOEFL","95","71.43%","25 months"
"260","61","akshayadiga","Carnegie Mellon University","Information Systems","Fall 2017 ","Reject","313","TOEFL","98","9.2 CGPA ","13 months"
"261","62","adi666452","Carnegie Mellon University","Information Systems","Fall 2017 ","Reject","332","TOEFL","112","9.45 CGPA ","4 months"
"294","13","rohan1234","University of Delaware","Management Information System","Fall 2018 ","Admit","295","IELTS","7.5","7.51 CGPA ","32 months"
"295","14","Shreya0110","University of Delaware","Management Information System","Spring 2018 ","Admit","303","TOEFL","93","64.10%","2 months"
"296","15","Ayush3195","University of Delaware","Management Information System","Fall 2017 ","Admit","310","IELTS","7.5","6.47 CGPA ",NA
"297","16","Divyaa","University of Delaware","Management Information System","Fall 2017 ","Admit","313","TOEFL","108","6.47 CGPA ","12 months"
"298","17","apurv1595","University of Delaware","Management Information System","Fall 2017  ","Admit","303","TOEFL","108","7.696 CGPA ","2 months"
"299","18","sanhith","University of Delaware","Management Information System","Spring 2017 ","Admit","300","IELTS","6.5","7.4 CGPA ","16 months"
"300","19","abhishekthelord","University of Delaware","Management Information System","Fall 2016 ","Admit","N.A. ","ENG TEST","NA ","72%","21 months"
"301","21","Adi8081234","University of Delaware","Management Information System","Fall 2017 ","Reject","306","TOEFL","92","6.75 CGPA ","1 month"
"302","22","navhar","University of Delaware","Management Information System","Spring 2017 ","Reject","305","TOEFL","93","7.2 CGPA ","25 months"
"303","23","vatsalajmera","University of Delaware","Management Information System","Fall 2016 ","Reject","312","TOEFL","101","75%",NA
"304","24","jituparwani","University of Delaware","Management Information System","Fall 2016 ","Reject","283","TOEFL","98","68%",NA
"330","6","yfiiiiyfi","Drexel Universit","y Information Systems","Fall 2018 ","Admit","N.A. ","ENG TEST","NA ","54%",NA
"331","7","Thiagu","Drexel University","Information Systems","Fall 2018 ","Admit","N.A. ","TOEFL","103","6.1 CGPA ","2 months"
"333","9","ArunCR7","Drexel University","Information Systems","Fall 2018 ","Admit","309","TOEFL","97","6.88 CGPA ",NA
"334","10","Rushikesh420","Drexel University","Information Systems","Fall 2018 ","Admit","298","TOEFL","0","57.43%","6 months"
"335","11","Rashi77","Drexel University","Information Systems","Fall 2018 ","Admit","300","TOEFL","104","7.8 CGPA ","20 months"
"336","12","saylibhutkar","Drexel University","Information Systems","Fall 2018 ","Admit","302","IELTS","6.5","7.75 CGPA ",NA
"337","13","Kanksha ","Drexel University","Information Systems","Fall 2018 ","Admit","305","TOEFL","96","8.4 CGPA ","4 months"
"338","14","Yashbar","Drexel University","Information Systems","Fall 2018 ","Admit","309","TOEFL","102"," 8 CGPA ",NA
"339","15","PrachiG","Drexel University","Information Systems","Fall 2018 ","Admit","309","TOEFL","93","7.445 CGPA ","4 months"
"340","16","Alloy","Drexel University","Information Systems","Fall 2018 ","Admit","302","IELTS","7","8.22 CGPA ","8 months"
"341","17","Aamyyy","Drexel University","Information Systems","Fall 2016 ","Admit","N.A. ","IELTS","7","60%","39 months"
"342","18","sartarora","Drexel University","Information Systems","Spring 2018 ","Admit","308","TOEFL","100","6.79 CGPA ","27 months"
"343","19","TanmaySandav","Drexel University","Information Systems","Fall 2017 ","Admit","302","TOEFL","86","65%","28 months"
"344","20","niveda","Drexel University","Information Systems","Fall 2017 ","Admit","310","ENG TEST","NA ","80.20%",NA
"345","21","asax19","Drexel University","Information Systems","Spring 2017 ","Admit","314","TOEFL","114","6.81 CGPA ","6 months"
"346","22","asw","Drexel University","Information Systems","Spring 2017 ","Admit","314","TOEFL","107","8.25 CGPA ","6 months"
"347","23","kanna","Drexel University","Information Systems","Fall 2016 ","Admit","307","TOEFL","101","8.42 CGPA ","41 months"
"348","24","abhishekthelord","Drexel University","Information Systems","Fall 2016 ","Admit","N.A. ","ENG TEST","NA ","72%","21 months"
"349","25","akhifall16","Drexel University","Information Systems","Fall 2016 ","Admit","305","IELTS","7.5","8 CGPA ","6 months"
"350","27","Sirish07","Drexel University","Information Systems","Fall 2018 ","Reject","306","TOEFL","92","6.33 CGPA ","-1 months"
"351","28","dio","Drexel University","Information Systems","Fall 2018 ","Reject","309","TOEFL","94","6.45 CGPA ","13 months"
"352","29","Yaassh","Drexel University","Information Systems","Fall 2017 ","Reject","318","TOEFL","113","5.97 CGPA ","20 months"
"353","30","Amit50","Drexel University","Information Systems","Fall 2017 ","Reject","302","TOEFL","96","78%","74 months"
"354","31","pratt23","Drexel University","Information Systems","Fall 2016 ","Reject","297","TOEFL","86","62.20%","32 months"
"355","32","akashjain","Drexel University","Information Systems","Fall 2016 ","Reject","318","TOEFL","110","8.2 CGPA ","20 months"
"397","22","Apu0929","University of Arizona","Management Information System","Fall 2018 ","Admit","326","TOEFL","115","9.38 CGPA ","1 month"
"398","23","pavithra25","University of Arizona","Management Information System","Fall 2018 ","Admit","308","TOEFL","105","85%","60 months"
"399","24","JaySomaiya","University of Arizona","Management Information System","Fall 2018 ","Admit","317","TOEFL","110","6.93 CGPA ","25 months"
"400","25","bostonner","University of Arizona","Management Information System","Fall 2018 ","Admit","315","TOEFL","104","77%","3 months"
"401","26","KrithikaCT","University of Arizona","Management Information System","Fall 2018 ","Admit","301","TOEFL","0","80.12%","60 months"
"402","27","tarunreddy7","University of Arizona","Management Information System","Fall 2018 ","Admit","315","TOEFL","104","6.97 CGPA ","18 months"
"403","28","AnujC","University of Arizona","Management Information System","Fall 2018 ","Admit","325","TOEFL","115","9.12 CGPA ","4 months"
"404","29","theharishkm","University of Arizona","Management Information System","Fall 2018 ","Admit","N.A. ","TOEFL","104","8.15 CGPA ","33 months"
"405","30","AbhinavSharma0794","University of Arizona","Management Information System","Fall 2018 ","Admit","319","TOEFL","114","6.71 CGPA ","14 months"
"406","31","YamunaBS","University of Arizona","Management Information System","Fall 2018 ","Admit","309","TOEFL","108","8.57 CGPA ","37 months"
"407","32","Shreepriya","University of Arizona","Management Information System","Fall 2018 ","Admit","312","TOEFL","110","8.6 CGPA ","24 months"
"408","33","KoSanjana","University of Arizona","Management Information System","Fall 2018 ","Admit","305","TOEFL","109","86%","25 months"
"409","34","tushardobhal","University of Arizona","Management Information System","Fall 2018 ","Admit","325","TOEFL","115","9.55 CGPA ","26 months"
"410","35","snigdha08","University of Arizona","Management Information System","Fall 2018 ","Admit","324","TOEFL","0","8.57 CGPA ","23 months"
"411","36","Ankeet1406","University of Arizona","Management Information System","Fall 2018 ","Admit","326","TOEFL","111","60.10%","42 months"
"412","37","Samra ","University of Arizona","Management Information System","Fall 2018 ","Admit","316","TOEFL","112","8.48 CGPA ","21 months"
"413","38","Chk1919","University of Arizona","Management Information System","Fall 2018 ","Admit","319","IELTS","0","73.10%",NA
"414","39","khyati20","University of Arizona","Management Information System","Fall 2018 ","Admit","313","TOEFL","101","68.20%","42 months"
"415","40","AnkitaGosain","University of Arizona","Management Information System","Fall 2018 ","Admit","313","TOEFL","107","8.96 CGPA ",NA
"416","41","anshul0414","University of Arizona","Management Information System","Fall 2018 ","Admit","316","TOEFL","103","81.01%","13 months"
"417","43","ChauhanSaloni","University of Arizona","Management Information System","Fall 2018 ","Reject","306","TOEFL","98","10 CGPA ",NA
"418","44","Skywalker95","University of Arizona","Management Information System","Fall 2018 ","Reject","317","TOEFL","101","67%","18 months"
"419","45","Disha0701","University of Arizona","Management Information System","Fall 2018 ","Reject","308","TOEFL","84","68.50%","43 months"
"420","46","dl4android","University of Arizona","Management Information System","Fall 2018 ","Reject","329","TOEFL","115","66%",NA
"421","47","addy14","University of Arizona","Management Information System","Fall 2018 ","Reject","314","TOEFL","111","7.15 CGPA ","3 months"
"422","48","Papansupratik","University of Arizona","Management Information System","Fall 2018 ","Reject","307","IELTS","0","7.61 CGPA ",NA
"423","49","MohitS","University of Arizona","Management Information System","Fall 2018 ","Reject","311","TOEFL","110","66%","50 months"
"424","50","Raksha-Wath","University of Arizona","Management Information System","Fall 2018 ","Reject","311","TOEFL","101","72%","24 months"
"425","51","shreyank96","University of Arizona","Management Information System","Fall 2018 ","Reject","325","TOEFL","116","8.48 CGPA ","2 months"
"426","52","kenil","University of Arizona","Management Information System","Fall 2018 ","Reject","323","TOEFL","110","8.55 CGPA ",NA
"427","53","Aashay Kedar","University of Arizona","Management Information System","Fall 2018 ","Reject","313","TOEFL","104","7.2 CGPA ","19 months"
"428","54","lamps1995","University of Arizona","Management Information System","Spring 2019 ","Reject","N.A. ","TOEFL","106","69%","12 months"
"429","55","preranaS","University of Arizona","Management Information System","Fall 2018 ","Reject","298","TOEFL","0","7.12 CGPA ","1 month"
"430","56","Chowry000","University of Arizona","Management Information System","Fall 2018 ","Reject","316","TOEFL","102","7.76 CGPA ","54 months"
"431","57","Anuja1011","University of Arizona","Management Information System","Fall 2018 ","Reject","309","TOEFL","103","74.10%","13 months"
"432","58","abhishek-karuna","University of Arizona","Management Information System","Fall 2018 ","Reject","313","TOEFL","97","7 CGPA ","23 months"
"433","59","sankalp2610","University of Arizona","Management Information System","Fall 2018 ","Reject","306","TOEFL","99","74%",NA
"434","60","Pranay9","University of Arizona","Management Information System","Fall 2018 ","Reject","315","IELTS","7.5","65.77%","30 months"
"435","61","rajsoni","University of Arizona","Management Information System","Fall 2018 ","Reject","293","TOEFL","101","8.72 CGPA ","20 months"
"436","62","Devash","University of Arizona","Management Information System","Fall 2018 ","Reject","305","TOEFL","100","9 CGPA ","43 months"
"478","22","VAIBHAVRAJ","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","299","TOEFL","84","8.64 CGPA ","67 months"
"479","23","arunpratap4554","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","293","TOEFL","93","56%","8 months"
"480","24","Srihari48","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","300","IELTS","7","81%","36 months"
"481","25","shruti7","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","303","TOEFL","91","7.7 CGPA ","1 month"
"482","26","Bhanu Chander","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","305","IELTS","6","69%","26 months"
"483","27","vasant","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","296","TOEFL","93","7 CGPA ","34 months"
"484","28","ReemaM","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","291","IELTS","6.5","67%","27 months"
"485","29","Bhavesh14","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","294","TOEFL","93","54%","35 months"
"486","30","Aman0098","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","306","TOEFL","0","8.04 CGPA ","40 months"
"487","31","vichemb","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","296","TOEFL","100","6.2 CGPA ",NA
"488","32","rohan1234","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","295","IELTS","7.5","7.51 CGPA ","32 months"
"489","33","ArthiAbilasha","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","302","IELTS","0","7.3 CGPA ","1 month"
"490","34","Lu3fer","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","311","IELTS","7.5","6.12 CGPA ","18 months"
"491","35","Saachi","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","299","IELTS","0","8.1 CGPA ","5 months"
"492","36","Anks123","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","306","TOEFL","99","64.50%",NA
"493","37","Akhild17","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","300","TOEFL","88","60%","29 months"
"494","38","Prabhus165","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","302","TOEFL","92","66%","24 months"
"495","39","jagadeesh1099","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","307","IELTS","6","6.9 CGPA ","26 months"
"496","40","Rishabh0009","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","305","TOEFL","0","65.20%","30 months"
